source,target,edge_type,date
C0001,P0068,SH,1997-11-28
C0001,P0068,COM,1997-11-28
C0001,P0071,SH,1997-11-28
C0001,P0337,NOT,1997-11-28
C0001,P0245,ADM,1997-11-28
C0001,P0245,SH,1997-11-28
C0001,P0078,SH,1997-11-28
C0001,P0228,SH,1997-11-28
C0001,P0035,LR,1997-11-28
C0001,P0232,SH,1997-11-28
C0001,P0193,SH,1997-11-28
C0001,P0119,SH,1997-11-28
C0003,P0120,LR,2008-03-01
C0003,P0071,LR,2008-03-01
C0003,P0155,ADM,2008-03-01
C0003,P0232,LR,2008-03-01
C0003,P0152,LR,2008-03-01
C0003,P0227,LR,2008-03-01
C0003,P0142,COM,2008-03-01
C0003,P0296,LR,2008-03-01
C0003,P0072,SH,2008-03-01
C0002,P0076,ADM,2008-03-01
C0003,P0231,SH,2008-03-01
C0003,P0121,LR,2008-03-01
C0002,P0072,SH,2008-03-01
C0002,P0152,LR,2008-03-01
C0003,P0159,LR,2008-03-01
C0002,P0252,SH,2008-03-01
C0003,P0035,LR,2008-03-01
C0003,P0337,NOT,2008-03-01
C0002,P0337,NOT,2008-03-01
C0004,P0216,LR,2008-08-05
C0004,P0042,LR,2008-08-05
C0004,P0120,SH,2008-08-05
C0004,P0123,LR,2008-08-05
C0004,P0337,NOT,2008-08-05
C0004,P0232,COM,2008-08-05
C0004,P0071,SH,2008-08-05
C0004,P0037,LR,2008-08-05
C0004,P0232,SH,2008-08-05
C0004,P0113,LR,2008-08-05
C0004,P0296,ADM,2008-08-05
C0004,P0296,SH,2008-08-05
C0004,P0121,SH,2008-08-05
C0004,P0303,LR,2008-08-05
C0004,P0227,LR,2008-08-05
C0005,P0142,SH,2008-09-08
C0005,P0309,NOT,2008-09-08
C0005,P0104,SH,2008-09-08
C0005,P0058,LR,2008-09-08
C0005,P0058,SH,2008-09-08
C0005,P0104,ADM,2008-09-08
C0005,P0044,COM,2008-09-08
C0005,P0087,SH,2008-09-08
C0006,P0089,SH,2008-12-11
C0006,P0227,COM,2008-12-11
C0006,P0065,SH,2008-12-11
C0006,P0120,SH,2008-12-11
C0006,P0227,SH,2008-12-11
C0006,P0318,NOT,2008-12-11
C0006,P0065,LR,2008-12-11
C0006,P0190,SH,2008-12-11
C0006,P0022,ADM,2008-12-11
C0007,P0231,SH,2008-12-12
C0008,P0232,LR,2008-12-12
C0007,P0231,ADM,2008-12-12
C0009,P0010,LR,2008-12-12
C0007,P0232,COM,2008-12-12
C0009,P0077,SH,2008-12-12
C0009,P0071,SH,2008-12-12
C0009,P0071,LR,2008-12-12
C0009,P0069,SH,2008-12-12
C0007,P0296,LR,2008-12-12
C0007,P0314,NOT,2008-12-12
C0009,P0257,ADM,2008-12-12
C0008,P0042,SH,2008-12-12
C0008,P0042,LR,2008-12-12
C0007,P0035,LR,2008-12-12
C0008,P0232,SH,2008-12-12
C0009,P0010,SH,2008-12-12
C0008,P0035,LR,2008-12-12
C0008,P0197,SH,2008-12-12
C0008,P0035,SH,2008-12-12
C0007,P0010,LR,2008-12-12
C0008,P0192,ADM,2008-12-12
C0007,P0142,SH,2008-12-12
C0009,P0214,COM,2008-12-12
C0009,P0214,SH,2008-12-12
C0007,P0168,LR,2008-12-12
C0008,P0216,COM,2008-12-12
C0008,P0216,SH,2008-12-12
C0008,P0337,NOT,2008-12-12
C0009,P0328,NOT,2008-12-12
C0010,P0010,COM,2008-12-15
C0010,P0121,LR,2008-12-15
C0010,P0318,NOT,2008-12-15
C0010,P0120,LR,2008-12-15
C0010,P0200,SH,2008-12-15
C0010,P0104,ADM,2008-12-15
C0010,P0188,LR,2008-12-15
C0010,P0100,LR,2008-12-15
C0010,P0104,SH,2008-12-15
C0011,P0223,ADM,2008-12-18
C0011,P0080,ADM,2008-12-18
C0011,P0337,NOT,2008-12-18
C0011,P0257,ADM,2008-12-18
C0012,P0252,ADM,2009-01-21
C0012,P0252,SH,2009-01-21
C0012,P0318,NOT,2009-01-21
C0012,P0206,COM,2009-01-21
C0012,P0206,SH,2009-01-21
C0013,P0186,SH,2009-03-21
C0013,P0186,COM,2009-03-21
C0013,P0183,ADM,2009-03-21
C0013,P0337,NOT,2009-03-21
C0013,P0183,SH,2009-03-21
C0014,P0295,ADM,2009-03-25
C0014,P0295,SH,2009-03-25
C0014,P0112,SH,2009-03-25
C0014,P0112,COM,2009-03-25
