source,target,edge_type,shell,creation_date
C0001,P0054,LR,True,2000-09-29
C0001,P0054,ADM,True,2000-09-29
C0002,P0106,ADM,True,2005-06-28
C0002,P0110,ADM,True,2005-06-28
C0002,P0228,COM,True,2005-06-28
C0002,P0038,SH,True,2005-06-28
C0002,P0106,SH,True,2005-06-28
C0003,P0033,ADM,True,2005-09-06
C0003,P0140,SH,True,2005-09-06
C0003,P0029,SH,True,2005-09-06
C0003,P0222,ADM,True,2005-09-06
C0003,P0087,ADM,True,2005-09-06
C0003,P0029,ADM,True,2005-09-06
C0003,P0010,ADM,True,2005-09-06
C0003,P0140,COM,True,2005-09-06
C0003,P0087,LR,True,2005-09-06
C0004,P0112,ADM,True,2005-11-03
C0005,P0177,LR,True,2007-03-02
C0006,P0219,SH,True,2009-03-18
C0006,P0018,SH,True,2009-03-18
C0006,P0212,ADM,True,2009-03-18
C0006,P0115,ADM,True,2009-03-18
C0006,P0220,SH,True,2009-03-18
C0006,P0018,ADM,True,2009-03-18
C0006,P0009,COM,True,2009-03-18
C0006,P0065,ADM,True,2009-03-18
C0007,P0131,ADM,True,2009-10-06
C0007,P0181,ADM,True,2009-10-06
C0007,P0141,COM,True,2009-10-06
C0007,P0181,SH,True,2009-10-06
C0007,P0141,SH,True,2009-10-06
C0008,P0200,SH,True,2010-11-25
C0008,P0012,SH,True,2010-11-25
C0008,P0190,ADM,True,2010-11-25
C0008,P0012,ADM,True,2010-11-25
C0008,P0093,COM,True,2010-11-25
C0010,P0094,LR,True,2010-12-14
C0010,P0094,ADM,True,2010-12-14
C0009,P0034,ADM,True,2010-12-14
C0009,P0034,SH,True,2010-12-14
C0009,P0021,COM,True,2010-12-14
C0009,P0116,SH,True,2010-12-14
C0011,P0046,LR,True,2011-09-21
C0011,P0204,SH,True,2011-09-21
C0011,P0199,SH,True,2011-09-21
C0011,P0046,SH,True,2011-09-21
C0011,P0199,LR,True,2011-09-21
C0011,P0204,COM,True,2011-09-21
C0011,P0199,COM,True,2011-09-21
C0011,P0046,ADM,True,2011-09-21
C0012,P0173,COM,True,2012-02-15
C0012,P0134,ADM,True,2012-02-15
C0012,P0134,SH,True,2012-02-15
C0012,P0170,SH,True,2012-02-15
C0013,P0006,ADM,True,2012-06-07
C0013,P0006,LR,True,2012-06-07
C0013,P0108,COM,True,2012-06-07
C0013,P0089,SH,True,2012-06-07
C0013,P0006,SH,True,2012-06-07
C0014,P0084,ADM,True,2012-06-28
C0014,P0201,COM,True,2012-06-28
C0014,P0037,SH,True,2012-06-28
C0014,P0084,SH,True,2012-06-28
C0015,P0150,SH,False,2012-07-18
C0015,P0183,COM,False,2012-07-18
C0015,P0150,ADM,False,2012-07-18
C0015,P0183,SH,False,2012-07-18
C0017,P0122,ADM,True,2012-10-16
C0017,P0048,SH,True,2012-10-16
C0016,P0053,COM,True,2012-10-16
C0016,P0048,ADM,True,2012-10-16
C0016,P0104,ADM,True,2012-10-16
C0016,P0048,SH,True,2012-10-16
C0016,P0075,SH,True,2012-10-16
C0017,P0053,COM,True,2012-10-16
C0017,P0048,ADM,True,2012-10-16
C0017,P0078,ADM,True,2012-10-16
C0017,P0075,SH,True,2012-10-16
C0018,P0194,SH,True,2012-10-17
C0018,P0194,COM,True,2012-10-17
C0018,P0133,SH,True,2012-10-17
C0018,P0024,ADM,True,2012-10-17
C0018,P0133,ADM,True,2012-10-17
C0019,P0044,ADM,True,2012-12-10
C0020,P0193,ADM,True,2013-01-30
C0020,P0195,COM,True,2013-01-30
C0020,P0193,LR,True,2013-01-30
C0020,P0032,SH,True,2013-01-30
C0020,P0079,ADM,True,2013-01-30
C0020,P0193,SH,True,2013-01-30
C0021,P0221,SH,True,2013-02-07
C0021,P0132,SH,True,2013-02-07
C0021,P0132,ADM,True,2013-02-07
C0021,P0132,LR,True,2013-02-07
C0021,P0221,COM,True,2013-02-07
C0022,P0191,LR,True,2013-02-22
C0022,P0055,COM,True,2013-02-22
C0022,P0191,ADM,True,2013-02-22
C0022,P0157,SH,True,2013-02-22
C0022,P0187,SH,True,2013-02-22
C0022,P0157,ADM,True,2013-02-22
C0023,P0083,ADM,True,2013-02-25
C0023,P0042,LR,True,2013-02-25
C0023,P0046,ADM,True,2013-02-25
C0023,P0083,SH,True,2013-02-25
C0023,P0149,SH,True,2013-02-25
C0023,P0118,LR,True,2013-02-25
C0023,P0215,LR,True,2013-02-25
C0023,P0059,LR,True,2013-02-25
C0023,P0091,COM,True,2013-02-25
C0024,P0226,LR,True,2013-04-11
C0024,P0226,ADM,True,2013-04-11
C0024,P0089,SH,True,2013-04-11
C0024,P0226,SH,True,2013-04-11
C0024,P0195,COM,True,2013-04-11
C0025,P0014,LR,True,2013-09-06
C0026,P0176,COM,True,2013-11-22
C0026,P0088,ADM,True,2013-11-22
C0026,P0176,SH,True,2013-11-22
C0026,P0119,SH,True,2013-11-22
C0026,P0192,COM,True,2013-11-22
C0026,P0119,ADM,True,2013-11-22
C0027,P0153,SH,True,2013-12-19
C0027,P0043,SH,True,2013-12-19
C0027,P0043,ADM,True,2013-12-19
C0027,P0107,COM,True,2013-12-19
C0028,P0033,ADM,True,2014-02-07
