company,individual,role,creation_year
Co-001,P0476,COM,1997
Co-001,P0060,SH,1997
Co-001,P0370,SH,1997
Co-001,P0052,SH,1997
Co-001,P0427,SH,1997
Co-001,P0104,ADM,1997
Co-001,P0025,SH,1997
Co-001,P0104,LR,1997
Co-001,P0219,LR,1997
Co-001,P0370,LR,1997
Co-001,P0423,LR,1997
Co-001,P0370,ADM,1997
Co-002,P0288,ADM,2004
Co-002,P0218,SH,2004
Co-002,P0262,SH,2004
Co-002,P0500,SH,2004
Co-002,P0179,ADM,2004
Co-002,P0262,ADM,2004
Co-002,P0500,ADM,2004
Co-002,P0288,SH,2004
Co-002,P0500,LR,2004
Co-002,P0288,LR,2004
Co-002,P0262,LR,2004
Co-002,P0241,LR,2004
Co-003,P0033,LR,2006
Co-004,P0414,SH,2006
Co-004,P0151,SH,2006
Co-004,P0355,COM,2006
Co-003,P0033,SH,2006
Co-003,P0481,SH,2006
Co-003,P0033,ADM,2006
Co-003,P0325,COM,2006
Co-004,P0414,ADM,2006
Co-005,P0307,LR,2007
Co-005,P0038,SH,2007
Co-005,P0307,SH,2007
Co-005,P0307,ADM,2007
Co-005,P0328,COM,2007
Co-005,P0337,LR,2007
Co-005,P0400,LR,2007
Co-006,P0437,LR,2008
Co-006,P0066,LR,2008
Co-006,P0017,LR,2008
Co-006,P0117,COM,2008
Co-006,P0017,ADM,2008
Co-006,P0017,SH,2008
Co-006,P0499,SH,2008
Co-007,P0390,LR,2008
Co-007,P0320,LR,2008
Co-007,P0169,LR,2008
Co-007,P0143,LR,2008
Co-007,P0390,ADM,2008
Co-007,P0061,LR,2008
Co-007,P0036,LR,2008
Co-007,P0010,LR,2008
Co-007,P0108,SH,2008
Co-007,P0390,SH,2008
Co-007,P0474,SH,2008
Co-007,P0441,LR,2008
Co-007,P0125,COM,2008
Co-008,P0492,SH,2009
Co-008,P0493,SH,2009
Co-008,P0040,ADM,2009
Co-008,P0141,ADM,2009
Co-008,P0484,ADM,2009
Co-008,P0015,COM,2009
Co-008,P0040,LR,2009
Co-008,P0141,LR,2009
Co-008,P0240,LR,2009
Co-008,P0040,SH,2009
Co-009,P0006,SH,2009
Co-009,P0225,LR,2009
Co-009,P0382,ADM,2009
Co-009,P0006,COM,2009
Co-009,P0006,LR,2009
Co-009,P0382,SH,2009
Co-010,P0093,ADM,2009
Co-010,P0221,ADM,2009
Co-010,P0453,ADM,2009
Co-010,P0147,COM,2009
Co-010,P0008,LR,2009
Co-010,P0067,LR,2009
Co-010,P0071,LR,2009
Co-010,P0411,LR,2009
Co-010,P0191,SH,2009
Co-010,P0221,SH,2009
Co-010,P0191,LR,2009
Co-010,P0322,LR,2009
Co-010,P0093,SH,2009
Co-010,P0448,LR,2009
Co-010,P0453,SH,2009
Co-011,P0445,LR,2010
Co-011,P0293,SH,2010
Co-011,P0159,ADM,2010
Co-011,P0195,ADM,2010
Co-011,P0445,ADM,2010
Co-011,P0096,COM,2010
Co-011,P0139,LR,2010
Co-011,P0144,LR,2010
Co-011,P0159,LR,2010
Co-011,P0275,SH,2010
Co-012,P0318,SH,2010
Co-012,P0393,SH,2010
Co-012,P0318,ADM,2010
Co-012,P0155,COM,2010
Co-012,P0004,LR,2010
Co-012,P0046,LR,2010
Co-012,P0250,LR,2010
Co-012,P0311,LR,2010
Co-012,P0318,LR,2010
Co-012,P0490,LR,2010
Co-012,P0393,LR,2010
Co-012,P0362,LR,2010
Co-013,P0018,SH,2010
Co-013,P0112,SH,2010
Co-013,P0018,ADM,2010
Co-013,P0112,ADM,2010
Co-013,P0188,ADM,2010
Co-013,P0408,COM,2010
Co-013,P0180,LR,2010
Co-013,P0188,LR,2010
Co-014,P0237,LR,2010
Co-014,P0346,COM,2010
Co-014,P0217,COM,2010
Co-014,P0416,SH,2010
Co-014,P0301,SH,2010
Co-014,P0237,SH,2010
Co-014,P0237,ADM,2010
Co-015,P0273,LR,2010
Co-015,P0501,LR,2010
Co-015,P0323,LR,2010
Co-015,P0099,SH,2010
Co-015,P0201,SH,2010
Co-015,P0323,SH,2010
Co-015,P0501,SH,2010
Co-015,P0099,ADM,2010
Co-015,P0201,ADM,2010
Co-015,P0323,ADM,2010
Co-015,P0501,ADM,2010
Co-015,P0440,LR,2010
Co-015,P0431,LR,2010
Co-015,P0379,LR,2010
Co-015,P0485,LR,2010
Co-015,P0121,COM,2010
Co-015,P0002,LR,2010
Co-015,P0012,LR,2010
Co-015,P0068,LR,2010
Co-015,P0069,LR,2010
Co-015,P0099,LR,2010
Co-015,P0201,LR,2010
Co-016,P0316,SH,2010
Co-016,P0316,ADM,2010
Co-016,P0049,LR,2010
Co-016,P0016,COM,2010
Co-016,P0049,SH,2010
Co-017,P0005,COM,2010
Co-017,P0063,ADM,2010
Co-017,P0063,LR,2010
Co-017,P0005,SH,2010
Co-017,P0063,SH,2010
Co-018,P0332,SH,2010
Co-018,P0356,COM,2010
Co-018,P0332,LR,2010
Co-018,P0392,LR,2010
Co-018,P0332,ADM,2010
Co-018,P0356,SH,2010
Co-019,P0193,SH,2011
Co-019,P0324,LR,2011
Co-019,P0193,LR,2011
Co-019,P0034,LR,2011
Co-019,P0475,COM,2011
Co-019,P0059,SH,2011
Co-019,P0324,SH,2011
Co-019,P0193,ADM,2011
Co-019,P0324,ADM,2011
Co-020,P0231,SH,2011
Co-020,P0128,SH,2011
Co-020,P0132,SH,2011
Co-020,P0102,LR,2011
Co-020,P0222,SH,2011
Co-020,P0140,COM,2011
Co-020,P0435,SH,2011
Co-020,P0343,SH,2011
Co-020,P0146,SH,2011
Co-020,P0276,SH,2011
Co-020,P0242,SH,2011
Co-020,P0216,SH,2011
Co-020,P0216,ADM,2011
Co-020,P0336,SH,2011
Co-020,P0101,SH,2011
Co-020,P0109,SH,2011
Co-020,P0268,LR,2011
Co-021,P0206,SH,2011
Co-021,P0271,SH,2011
Co-021,P0271,ADM,2011
Co-021,P0206,COM,2011
Co-021,P0097,LR,2011
Co-021,P0271,LR,2011
Co-021,P0206,LR,2011
Co-022,P0468,LR,2011
Co-022,P0446,LR,2011
Co-022,P0171,LR,2011
Co-022,P0182,COM,2011
Co-022,P0446,ADM,2011
Co-022,P0472,SH,2011
Co-022,P0446,SH,2011
Co-022,P0249,LR,2011
Co-023,P0436,SH,2011
Co-023,P0436,LR,2011
Co-023,P0156,LR,2011
Co-023,P0070,LR,2011
Co-023,P0137,COM,2011
Co-023,P0436,ADM,2011
Co-023,P0463,LR,2011
Co-023,P0174,SH,2011
Co-023,P0137,SH,2011
Co-024,P0175,SH,2011
Co-024,P0175,LR,2011
Co-024,P0278,LR,2011
Co-024,P0175,ADM,2011
Co-024,P0272,ADM,2011
Co-024,P0289,COM,2011
Co-024,P0282,SH,2011
Co-025,P0204,ADM,2011
Co-025,P0326,SH,2011
Co-025,P0134,SH,2011
Co-025,P0326,LR,2011
Co-025,P0204,LR,2011
Co-025,P0326,ADM,2011
Co-025,P0134,COM,2011
Co-026,P0259,ADM,2011
Co-026,P0339,SH,2011
Co-026,P0339,LR,2011
Co-026,P0259,SH,2011
Co-026,P0280,COM,2011
Co-027,P0373,SH,2011
Co-027,P0466,ADM,2011
Co-027,P0478,ADM,2011
Co-027,P0045,COM,2011
Co-027,P0095,LR,2011
Co-027,P0334,LR,2011
Co-027,P0373,LR,2011
Co-027,P0478,SH,2011
Co-027,P0255,ADM,2011
Co-027,P0264,ADM,2011
Co-028,P0428,LR,2011
Co-028,P0189,LR,2011
Co-028,P0107,LR,2011
Co-028,P0364,COM,2011
Co-028,P0321,ADM,2011
Co-028,P0321,SH,2011
Co-028,P0189,SH,2011
Co-029,P0208,SH,2012
Co-029,P0161,COM,2012
Co-029,P0333,LR,2012
Co-029,P0315,LR,2012
Co-029,P0024,LR,2012
Co-029,P0354,COM,2012
Co-029,P0507,ADM,2012
Co-029,P0161,ADM,2012
Co-029,P0024,ADM,2012
Co-029,P0024,SH,2012
Co-031,P0145,LR,2012
Co-031,P0114,COM,2012
Co-031,P0284,LR,2012
Co-030,P0302,SH,2012
Co-031,P0145,ADM,2012
Co-030,P0314,SH,2012
Co-030,P0314,ADM,2012
Co-030,P0092,COM,2012
Co-030,P0080,LR,2012
Co-030,P0185,LR,2012
Co-030,P0314,LR,2012
Co-031,P0145,SH,2012
Co-031,P0305,SH,2012
Co-032,P0206,SH,2012
Co-032,P0347,SH,2012
Co-032,P0347,ADM,2012
Co-032,P0206,COM,2012
Co-032,P0035,LR,2012
Co-032,P0347,LR,2012
Co-032,P0425,LR,2012
Co-033,P0198,LR,2012
Co-033,P0360,LR,2012
Co-033,P0504,LR,2012
Co-033,P0142,COM,2012
Co-033,P0050,ADM,2012
Co-033,P0306,SH,2012
Co-033,P0050,SH,2012
Co-033,P0142,LR,2012
Co-033,P0186,LR,2012
Co-033,P0461,LR,2012
