company,individual,role,creation_year
Co-001,P0054,LR,2000
Co-001,P0054,ADM,2000
Co-002,P0106,ADM,2005
Co-002,P0110,ADM,2005
Co-002,P0106,SH,2005
Co-002,P0228,COM,2005
Co-002,P0038,SH,2005
Co-003,P0222,ADM,2005
Co-003,P0087,LR,2005
Co-003,P0087,ADM,2005
Co-003,P0140,COM,2005
Co-003,P0029,ADM,2005
Co-003,P0140,SH,2005
Co-003,P0029,SH,2005
Co-003,P0010,ADM,2005
Co-003,P0033,ADM,2005
Co-004,P0112,ADM,2005
Co-005,P0052,ADM,2006
Co-005,P0058,SH,2006
Co-005,P0052,SH,2006
Co-005,P0058,COM,2006
Co-006,P0177,LR,2007
Co-007,P0109,COM,2008
Co-007,P0179,ADM,2008
Co-007,P0230,ADM,2008
Co-007,P0179,SH,2008
Co-007,P0230,SH,2008
Co-008,P0018,SH,2009
Co-008,P0212,ADM,2009
Co-008,P0115,ADM,2009
Co-008,P0065,ADM,2009
Co-008,P0219,SH,2009
Co-008,P0220,SH,2009
Co-008,P0009,COM,2009
Co-008,P0018,ADM,2009
Co-009,P0181,SH,2009
Co-009,P0141,SH,2009
Co-009,P0181,ADM,2009
Co-009,P0131,ADM,2009
Co-009,P0141,COM,2009
Co-010,P0200,SH,2010
Co-010,P0093,COM,2010
Co-010,P0012,SH,2010
Co-010,P0190,ADM,2010
Co-010,P0012,ADM,2010
Co-012,P0021,COM,2010
Co-012,P0034,ADM,2010
Co-012,P0034,SH,2010
Co-012,P0116,SH,2010
Co-011,P0094,LR,2010
Co-011,P0094,ADM,2010
Co-013,P0134,LR,2010
Co-013,P0134,ADM,2010
Co-013,P0114,SH,2010
Co-013,P0134,SH,2010
Co-013,P0148,COM,2010
Co-014,P0199,SH,2011
Co-014,P0046,SH,2011
Co-014,P0046,LR,2011
Co-014,P0199,LR,2011
Co-014,P0199,COM,2011
Co-014,P0204,COM,2011
Co-014,P0046,ADM,2011
Co-014,P0204,SH,2011
Co-015,P0173,COM,2012
Co-015,P0134,SH,2012
Co-015,P0170,SH,2012
Co-015,P0134,ADM,2012
Co-016,P0089,SH,2012
Co-016,P0006,LR,2012
Co-016,P0006,SH,2012
Co-016,P0108,COM,2012
Co-016,P0006,ADM,2012
Co-017,P0082,COM,2012
Co-017,P0096,ADM,2012
Co-017,P0086,SH,2012
Co-017,P0096,SH,2012
Co-018,P0084,ADM,2012
Co-018,P0201,COM,2012
Co-018,P0084,SH,2012
Co-018,P0037,SH,2012
Co-019,P0183,COM,2012
Co-019,P0150,ADM,2012
Co-019,P0150,SH,2012
Co-019,P0183,SH,2012
Co-020,P0214,SH,2012
Co-020,P0017,LR,2012
Co-020,P0008,SH,2012
Co-020,P0064,COM,2012
Co-020,P0214,ADM,2012
Co-020,P0085,ADM,2012
Co-020,P0227,COM,2012
Co-021,P0073,SH,2012
Co-021,P0180,ADM,2012
Co-021,P0048,SH,2012
Co-021,P0137,SH,2012
Co-021,P0048,ADM,2012
Co-021,P0053,COM,2012
Co-022,P0053,COM,2012
Co-022,P0048,ADM,2012
Co-022,P0078,ADM,2012
Co-022,P0122,ADM,2012
Co-022,P0048,SH,2012
Co-023,P0053,COM,2012
Co-023,P0048,ADM,2012
Co-023,P0075,SH,2012
Co-023,P0048,SH,2012
Co-023,P0104,ADM,2012
Co-022,P0075,SH,2012
Co-024,P0133,ADM,2012
Co-024,P0024,ADM,2012
Co-024,P0194,SH,2012
Co-024,P0194,COM,2012
Co-024,P0133,SH,2012
Co-025,P0095,SH,2012
Co-025,P0095,COM,2012
Co-025,P0224,ADM,2012
Co-025,P0224,SH,2012
Co-026,P0044,ADM,2012
Co-027,P0193,ADM,2013
Co-027,P0079,ADM,2013
Co-027,P0195,COM,2013
Co-027,P0193,LR,2013
Co-027,P0032,SH,2013
Co-027,P0193,SH,2013
Co-028,P0221,SH,2013
Co-028,P0132,SH,2013
Co-028,P0132,ADM,2013
Co-028,P0221,COM,2013
Co-028,P0132,LR,2013
Co-029,P0157,SH,2013
Co-029,P0055,COM,2013
Co-029,P0157,ADM,2013
Co-029,P0191,ADM,2013
Co-029,P0191,LR,2013
Co-029,P0187,SH,2013
Co-030,P0149,SH,2013
Co-030,P0083,SH,2013
Co-030,P0083,ADM,2013
Co-030,P0046,ADM,2013
Co-030,P0215,LR,2013
Co-030,P0118,LR,2013
Co-030,P0091,COM,2013
Co-030,P0042,LR,2013
Co-030,P0059,LR,2013
Co-031,P0060,SH,2013
Co-031,P0187,SH,2013
Co-031,P0060,LR,2013
Co-031,P0184,COM,2013
Co-031,P0060,ADM,2013
Co-032,P0226,SH,2013
Co-032,P0089,SH,2013
Co-032,P0226,ADM,2013
Co-032,P0195,COM,2013
Co-032,P0226,LR,2013
Co-033,P0014,LR,2013
Co-034,P0176,COM,2013
Co-034,P0192,COM,2013
Co-034,P0088,ADM,2013
Co-034,P0119,ADM,2013
Co-034,P0119,SH,2013
Co-034,P0176,SH,2013
Co-035,P0107,COM,2013
Co-035,P0043,ADM,2013
Co-035,P0043,SH,2013
Co-035,P0153,SH,2013
Co-036,P0146,SH,2014
Co-036,P0067,SH,2014
Co-036,P0146,ADM,2014
Co-036,P0033,ADM,2014
Co-036,P0010,ADM,2014
Co-036,P0138,COM,2014
Co-037,P0101,SH,2014
Co-037,P0101,ADM,2014
Co-037,P0076,COM,2014
Co-037,P0072,SH,2014
Co-038,P0126,LR,2014
Co-038,P0069,COM,2014
Co-038,P0069,SH,2014
Co-038,P0126,ADM,2014
Co-038,P0126,SH,2014
Co-039,P0047,ADM,2014
Co-040,P0130,LR,2014
Co-040,P0130,ADM,2014
Co-041,P0166,COM,2014
Co-041,P0196,ADM,2014
Co-041,P0218,ADM,2014
Co-041,P0023,SH,2014
Co-041,P0218,SH,2014
Co-042,P0139,SH,2014
Co-042,P0001,COM,2014
Co-042,P0010,ADM,2014
Co-042,P0090,ADM,2014
Co-042,P0090,SH,2014
Co-043,P0166,COM,2014
Co-043,P0002,ADM,2014
Co-043,P0002,SH,2014
Co-043,P0002,LR,2014
Co-043,P0003,SH,2014
Co-044,P0113,ADM,2014
Co-044,P0015,SH,2014
Co-044,P0113,SH,2014
Co-044,P0166,COM,2014
Co-045,P0099,COM,2014
Co-045,P0186,SH,2014
Co-045,P0061,SH,2014
Co-045,P0186,ADM,2014
Co-046,P0040,COM,2014
Co-046,P0031,ADM,2014
Co-046,P0031,SH,2014
Co-046,P0041,LR,2014
Co-046,P0040,SH,2014
Co-047,P0031,COM,2014
Co-047,P0040,SH,2014
Co-047,P0031,SH,2014
Co-047,P0040,ADM,2014
Co-048,P0206,ADM,2014
Co-048,P0127,SH,2014
Co-048,P0206,SH,2014
Co-048,P0178,COM,2014
Co-049,P0097,COM,2014
Co-049,P0217,SH,2014
Co-049,P0143,LR,2014
Co-049,P0143,ADM,2014
Co-049,P0217,ADM,2014
Co-049,P0039,SH,2014
Co-050,P0062,ADM,2014
Co-050,P0036,COM,2014
Co-050,P0210,SH,2014
Co-050,P0062,LR,2014
Co-050,P0062,SH,2014
Co-051,P0057,SH,2014
Co-051,P0022,SH,2014
Co-051,P0167,ADM,2014
Co-051,P0203,ADM,2014
Co-051,P0074,LR,2014
Co-051,P0081,LR,2014
Co-051,P0145,COM,2014
Co-052,P0172,SH,2014
Co-052,P0016,SH,2014
Co-052,P0172,ADM,2014
Co-052,P0154,COM,2014
Co-052,P0071,LR,2014
Co-053,P0016,LR,2014
Co-053,P0188,COM,2014
Co-053,P0016,ADM,2014
Co-053,P0016,SH,2014
Co-053,P0161,SH,2014
Co-054,P0213,SH,2014
Co-054,P0213,LR,2014
Co-054,P0068,COM,2014
Co-054,P0213,ADM,2014
Co-054,P0163,SH,2014
Co-055,P0225,ADM,2014
Co-055,P0152,COM,2014
Co-055,P0005,SH,2014
Co-055,P0225,LR,2014
Co-055,P0207,ADM,2014
Co-055,P0225,SH,2014
Co-057,P0051,COM,2014
Co-057,P0120,ADM,2014
Co-057,P0135,SH,2014
Co-057,P0120,SH,2014
Co-059,P0124,ADM,2014
Co-058,P0135,SH,2014
Co-058,P0120,SH,2014
Co-058,P0120,ADM,2014
Co-056,P0164,SH,2014
Co-058,P0051,COM,2014
Co-056,P0124,SH,2014
Co-059,P0124,LR,2014
Co-059,P0164,SH,2014
Co-056,P0124,ADM,2014
Co-059,P0124,SH,2014
Co-056,P0051,COM,2014
Co-059,P0051,COM,2014
Co-056,P0102,LR,2014
Co-060,P0223,COM,2014
Co-060,P0027,LR,2014
Co-060,P0027,ADM,2014
Co-060,P0027,SH,2014
Co-060,P0169,SH,2014
Co-061,P0158,ADM,2014
Co-061,P0121,SH,2014
Co-061,P0158,SH,2014
Co-061,P0117,COM,2014
Co-062,P0188,ADM,2014
Co-062,P0154,COM,2014
Co-062,P0188,SH,2014
Co-062,P0175,SH,2014
Co-062,P0188,LR,2014
Co-062,P0050,ADM,2014
Co-063,P0136,ADM,2014
Co-063,P0136,LR,2014
Co-063,P0229,SH,2014
Co-063,P0151,COM,2014
Co-063,P0136,SH,2014
Co-065,P0185,ADM,2014
Co-065,P0168,COM,2014
Co-064,P0185,SH,2014
Co-064,P0103,SH,2014
Co-065,P0185,SH,2014
Co-065,P0004,SH,2014
Co-064,P0128,ADM,2014
Co-064,P0103,ADM,2014
Co-064,P0098,ADM,2014
Co-064,P0168,COM,2014
Co-064,P0035,LR,2014
Co-066,P0159,ADM,2015
Co-066,P0030,SH,2015
Co-066,P0159,SH,2015
Co-066,P0159,LR,2015
Co-066,P0111,COM,2015
Co-067,P0105,LR,2015
Co-067,P0111,COM,2015
Co-067,P0105,ADM,2015
Co-067,P0080,SH,2015
Co-067,P0105,SH,2015
Co-068,P0198,ADM,2015
Co-069,P0011,SH,2015
Co-069,P0011,ADM,2015
Co-069,P0123,SH,2015
Co-070,P0189,LR,2015
Co-070,P0209,COM,2015
Co-070,P0045,SH,2015
Co-070,P0189,SH,2015
Co-070,P0189,ADM,2015
Co-071,P0205,SH,2015
Co-071,P0205,LR,2015
Co-071,P0056,SH,2015
Co-071,P0205,ADM,2015
Co-071,P0111,COM,2015
Co-072,P0202,COM,2015
Co-072,P0182,LR,2015
Co-072,P0182,SH,2015
Co-072,P0144,SH,2015
Co-072,P0182,ADM,2015
Co-073,P0049,COM,2015
Co-073,P0202,LR,2015
Co-073,P0202,ADM,2015
Co-073,P0182,SH,2015
Co-073,P0202,SH,2015
Co-074,P0025,SH,2015
Co-074,P0147,SH,2015
Co-074,P0216,ADM,2015
Co-074,P0026,ADM,2015
Co-074,P0025,COM,2015
Co-074,P0025,ADM,2015
Co-074,P0129,ADM,2015
Co-075,P0002,LR,2015
Co-075,P0155,COM,2015
Co-075,P0028,ADM,2015
Co-075,P0155,SH,2015
Co-075,P0028,SH,2015
Co-076,P0028,COM,2015
Co-076,P0155,ADM,2015
Co-076,P0155,SH,2015
Co-076,P0028,SH,2015
Co-077,P0144,SH,2015
Co-077,P0100,COM,2015
Co-077,P0144,ADM,2015
Co-077,P0160,ADM,2015
Co-077,P0202,SH,2015
Co-078,P0013,COM,2015
Co-078,P0156,ADM,2015
Co-078,P0156,SH,2015
Co-078,P0197,SH,2015
Co-079,P0019,LR,2015
Co-080,P0063,SH,2015
Co-080,P0162,ADM,2015
Co-080,P0208,COM,2015
Co-080,P0162,LR,2015
Co-080,P0066,SH,2015
Co-080,P0071,LR,2015
Co-081,P0155,COM,2016
Co-081,P0125,ADM,2016
Co-081,P0125,SH,2016
Co-081,P0155,SH,2016
Co-082,P0020,LR,2016
Co-082,P0165,SH,2016
Co-082,P0020,SH,2016
Co-082,P0020,ADM,2016
Co-082,P0165,COM,2016
Co-083,P0125,SH,2016
Co-083,P0155,SH,2016
Co-083,P0155,COM,2016
Co-083,P0125,ADM,2016
Co-084,P0125,SH,2016
Co-084,P0028,SH,2016
Co-084,P0028,ADM,2016
Co-084,P0125,COM,2016
Co-085,P0211,SH,2016
Co-085,P0077,SH,2016
Co-085,P0077,ADM,2016
Co-085,P0211,COM,2016
Co-087,P0077,SH,2016
Co-087,P0211,SH,2016
Co-087,P0077,ADM,2016
Co-087,P0211,COM,2016
Co-086,P0211,ADM,2016
Co-086,P0211,SH,2016
Co-086,P0077,SH,2016
Co-086,P0077,COM,2016
Co-088,P0070,COM,2017
Co-088,P0171,ADM,2017
Co-088,P0070,SH,2017
Co-088,P0171,SH,2017
Co-090,P0174,COM,
Co-090,P0142,ADM,
Co-090,P0142,SH,
Co-090,P0174,SH,
Co-090,P0007,LR,
Co-089,P0092,ADM,
Co-090,P0007,ADM,
