estado,nombre,numero,presidente,direccion
Zacatecas,Lic. Joel Cano Valencia ,2,False,Guadalupe Zacatecas 
Yucatán,Lic.  José Joaquín Pino Barrera ,13,True,"Calle 5- A número 151, por 28 Colonia García Gineres Mérida Yucatán 97070 "
Yucatán,Lic. Efraín Jesús Díaz y Díaz ,1,False,Calle 23 número 199-D (entre Calles 22 y 24) Colonia García Gineres Mérida Yucatán 97070 
Yucatán,Lic. José Luis Carrillo Berzunza ,3,False,Calle 66 número 510 (por 63) Colonia Centro Mérida Yucatán 97000 
Yucatán,Lic. Luis Jorge Cárdenas López ,4,False,Calle 66 número 444-A (entre 49 y 53) Colonia Centro Mérida Yucatán 97000 
Yucatán,Lic. Enrique José Mendoza Cámara ,5,False,Calle 27 número 494 (por 56 y 56 A) Colonia Itzimna Mérida Yucatán 91700 
Yucatán,Lic. Manuel José Rodríguez Villamil ,6,False,Con licencia de separación
Yucatán,Lic. Sergio Alberto Paredes Pino ,7,False,Calle 28 número 170-B (entre calles 7 y 9) Colonia García Gineres Mérida Yucatán 97070 
Yucatán,Lic. Guibaldo Vargas Madrazo ,8,False,Con licencia de separación
Yucatán,Lic. Gerardo José Rodríguez Villamil ,9,False,Calle 18 número 91 Colonia México Mérida Yucatán 97128 
Yucatán,Lic. Alejandra Perales Bautista ,10,False,Calle 1F número 310 Fraccionamiento Campestre Mérida Yucatán 97070 
Yucatán,Lic. Patricio Solis Millet ,11,False,Calle 22 número 293 por 17 Colonia Miguel Alemán Mérida Yucatán 97148 
Yucatán,Lic. Roberto José Ponce Montemayor ,12,False,Calle 31(ave. Circuito Colonias) No. 107 A (Plaza Metrópolis) local 6 por 22 y 24 Colonia México Mérida Yucatán 97125 
Yucatán,Lic. Pedro Enrique Góngora Urcelay ,14,False,Calle 28 No. 100 por 19 y 21 Col. Itzimná Mérida Yucatán 97100 work
Veracruz,Lic. Alaodin Nieto Solana ,15,True,Chopin número 5 Colonia Indeco Animas Xalapa Veracruz 91190 
Veracruz,Lic. Armando Lima Anguiano ,1,False,Calle Arquitecto Enrique Segarra número 235 Colonia Fraccionamiento Las Hortalizas Veracruz Veracruz 91808 
Veracruz,Lic. Jorge Alberto Aquino Pozos ,2,False,"Doctor Rafael Lucio, número 183, primer piso Colonia Centro Xalapa Veracruz 91000 "
Veracruz,Lic. Raúl González Rivera ,3,False,Miguel Negrete número 1 interior C Colonia María Esther Xalapa Veracruz 91030 
Veracruz,Lic. María del Socorro Dávila García ,4,False,Avenida 20 de Noviembre número 1015 (esquina con calle 22) Colonia Cazones de Poza Rica Poza Rica Veracruz 93230 
Veracruz,Lic. Orlando García Ortíz ,5,False,Calle Miguel Negrete número 45 Colonia Maria Esther Xalapa Veracruz 91030 
